TARIFF,EFF_DATE,CHANGE,SUB_CHAP,DESC1,DESC2,DESC3,FOOTNOTE,UOM,MFN,AUT,NZT,CCCT,LDCT,GPT,UST,MXT,CIAT,CT,CRT,IT,NT,SLT,PT,COLT,JT,PAT,HNT,KRT,CEUT,CPTPT,UKT,row_id,UAT,General Tariff
"0101.2","01/01/12 00:00:00",0,,"Horses:",,,,,,,,,,,,,,,,,,,,,,,,,,,,26837,,
"0101.21.00","04/01/21 00:00:00",0,,"Pure-bred breeding animals",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26838,"Free","35%"
"0101.21.00.00","01/01/12 00:00:00",0,,"Pure-bred breeding animals",,,,"NMB","Free",,,,,,,,,,,,,,,,,,,,,,,26839,,"35%"
"0101.29.00","04/01/21 00:00:00",0,,"Other",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26840,"Free","35%"
"0101.29.00.10","01/01/12 00:00:00",0,,"For slaughter",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,26841,,
"0101.29.00.20","01/01/12 00:00:00",0,,"For racing",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,26842,,
"0101.29.00.90","01/01/12 00:00:00",0,,"Other",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,26843,,
"0101.30.00","04/01/21 00:00:00",0,,"Asses",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26844,"Free","35%"
"0101.30.00.00","01/01/12 00:00:00",0,,"Asses",,,,"NMB","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26845,"Free","35%"
"0101.90.00","04/01/21 00:00:00",0,,"Other",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26846,"Free","35%"
"0101.90.00.00","01/01/12 00:00:00",0,,"Other",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,26847,,
"01.02","01/01/98 00:00:00",0,,"Live bovine animals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,26848,,
"0102.2","01/01/12 00:00:00",0,,"Cattle:",,,,,,,,,,,,,,,,,,,,,,,,,,,,26849,,
"0102.21.00","04/01/21 00:00:00",0,,"Pure-bred breeding animals",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26850,"Free","35%"
